ANNO_SOLARE,CODICE_ATENEO,NOME_ATENEO,Sesso,LAUREATI_TOTALE
2018,701,Aosta,F,168
2018,701,Aosta,M,57
2018,7201,Bari,F,4758
2018,7201,Bari,M,2802
2018,7202,Bari Politecnico,F,642
2018,7202,Bari Politecnico,M,1270
2018,7601,Basilicata,F,551
2018,7601,Basilicata,M,371
2018,6202,Benevento Giustino Fortunato - telematica,F,108
2018,6202,Benevento Giustino Fortunato - telematica,M,179
2018,1601,Bergamo,M,1154
2018,1601,Bergamo,F,2374
2018,3701,Bologna,F,10301
2018,3701,Bologna,M,7933
2018,2101,Bolzano,F,485
2018,2101,Bolzano,M,215
2018,401,Bra Scienze Gastronomiche,F,30
2018,401,Bra Scienze Gastronomiche,M,33
2018,1701,Brescia,F,1196
2018,1701,Brescia,M,1308
2018,9201,Cagliari,M,1618
2018,9201,Cagliari,F,2416
2018,7801,Calabria,F,2535
2018,7801,Calabria,M,1661
2018,4302,Camerino,F,494
2018,4302,Camerino,M,448
2018,7203,Casamassima - J.Monnet,F,128
2018,7203,Casamassima - J.Monnet,M,209
2018,6001,Cassino,F,840
2018,6001,Cassino,M,596
2018,1201,Castellanza LIUC,M,453
2018,1201,Castellanza LIUC,F,287
2018,8701,Catania,F,3685
2018,8701,Catania,M,2475
2018,7901,Catanzaro,F,875
2018,7901,Catanzaro,M,567
2018,6901,Chieti e Pescara,F,3172
2018,6901,Chieti e Pescara,M,1591
2018,8601,Enna KORE,F,712
2018,8601,Enna KORE,M,428
2018,3801,Ferrara,F,1800
2018,3801,Ferrara,M,1279
2018,4801,Firenze,F,5346
2018,4801,Firenze,M,3459
2018,4804,Firenze IUL - telematica,F,34
2018,4804,Firenze IUL - telematica,M,9
2018,7101,Foggia,F,994
2018,7101,Foggia,M,630
2018,1001,Genova,F,3424
2018,1001,Genova,M,2602
2018,1202,Insubria,F,1032
2018,1202,Insubria,M,722
2018,6601,L'Aquila,F,1801
2018,6601,L'Aquila,M,1213
2018,4301,Macerata,F,1469
2018,4301,Macerata,M,460
2018,4201,Marche,F,1485
2018,4201,Marche,M,1554
2018,8301,Messina,F,2546
2018,8301,Messina,M,1325
2018,1501,Milano,F,7124
2018,1501,Milano,M,4499
2018,1509,Milano Bicocca,F,4478
2018,1509,Milano Bicocca,M,2582
2018,1503,Milano Bocconi,M,2421
2018,1503,Milano Bocconi,F,2120
2018,1504,Milano Cattolica,F,6394
2018,1504,Milano Cattolica,M,3440
2018,1505,Milano IULM,F,1048
2018,1505,Milano IULM,M,374
2018,1502,Milano Politecnico,M,7307
2018,1502,Milano Politecnico,F,4396
2018,1508,Milano San Raffaele,F,356
2018,1508,Milano San Raffaele,M,228
2018,3601,Modena e Reggio Emilia,F,2516
2018,3601,Modena e Reggio Emilia,M,2122
2018,7001,Molise,F,600
2018,7001,Molise,M,410
2018,6304,Napoli Benincasa,F,1532
2018,6304,Napoli Benincasa,M,210
2018,6301,Napoli Federico II,M,5863
2018,6301,Napoli Federico II,F,7450
2018,6303,Napoli L'Orientale,F,1464
2018,6303,Napoli L'Orientale,M,363
2018,6302,Napoli Parthenope,F,1011
2018,6302,Napoli Parthenope,M,1194
2018,6307,Napoli Pegaso - telematica,F,2651
2018,6307,Napoli Pegaso - telematica,M,3834
2018,6306,Napoli Vanvitelli,F,2592
2018,6306,Napoli Vanvitelli,M,1809
2018,1301,Novedrate e-Campus - telematica,F,1177
2018,1301,Novedrate e-Campus - telematica,M,999
2018,2801,Padova,F,6893
2018,2801,Padova,M,5720
2018,8201,Palermo,F,4332
2018,8201,Palermo,M,2718
2018,3401,Parma,F,2656
2018,3401,Parma,M,1889
2018,1801,Pavia,F,2566
2018,1801,Pavia,M,1891
2018,5401,Perugia,F,2558
2018,5401,Perugia,M,1731
2018,5403,Perugia Stranieri,F,140
2018,5403,Perugia Stranieri,M,73
2018,201,Piemonte Orientale,F,1262
2018,201,Piemonte Orientale,M,759
2018,5001,Pisa,M,3026
2018,5001,Pisa,F,3160
2018,8001,Reggio Calabria,F,444
2018,8001,Reggio Calabria,M,439
2018,8003,Reggio Calabria - Dante Alighieri,M,35
2018,8003,Reggio Calabria - Dante Alighieri,F,173
2018,5808,Roma Biomedico,F,269
2018,5808,Roma Biomedico,M,171
2018,5812,Roma Europea,F,91
2018,5812,Roma Europea,M,81
2018,5806,Roma Foro Italico,F,153
2018,5806,Roma Foro Italico,M,340
2018,5801,Roma La Sapienza,F,10508
2018,5801,Roma La Sapienza,M,7238
2018,5817,Roma Link Campus,F,148
2018,5817,Roma Link Campus,M,302
2018,5805,Roma LUISS,F,1205
2018,5805,Roma LUISS,M,1406
2018,5803,Roma LUMSA,F,506
2018,5803,Roma LUMSA,M,162
2018,5810,Roma Marconi - telematica,F,485
2018,5810,Roma Marconi - telematica,M,463
2018,5816,Roma San Raffaele - telematica,F,276
2018,5816,Roma San Raffaele - telematica,M,293
2018,5802,Roma Tor Vergata,M,2860
2018,5802,Roma Tor Vergata,F,3079
2018,5807,Roma Tre,F,3521
2018,5807,Roma Tre,M,2390
2018,5815,Roma UNICUSANO - telematica,M,779
2018,5815,Roma UNICUSANO - telematica,F,558
2018,5813,Roma UNINETTUNO - telematica,M,297
2018,5813,Roma UNINETTUNO - telematica,F,210
2018,5809,Roma UNINT,M,92
2018,5809,Roma UNINT,F,435
2018,5811,Roma UNITELMA - telematica,F,164
2018,5811,Roma UNITELMA - telematica,M,200
2018,1510,Rozzano (MI) Humanitas University,F,19
2018,1510,Rozzano (MI) Humanitas University,M,3
2018,7501,Salento,F,2064
2018,7501,Salento,M,1070
2018,6501,Salerno,F,3105
2018,6501,Salerno,M,2303
2018,6201,Sannio,F,509
2018,6201,Sannio,M,393
2018,9001,Sassari,F,1202
2018,9001,Sassari,M,654
2018,5201,Siena,F,1637
2018,5201,Siena,M,1107
2018,5202,Siena Stranieri,F,308
2018,5202,Siena Stranieri,M,65
2018,6701,Teramo,F,544
2018,6701,Teramo,M,377
2018,101,Torino,M,4902
2018,101,Torino,F,8023
2018,102,Torino Politecnico,F,2214
2018,102,Torino Politecnico,M,5014
2018,6902,Torrevecchia Teatina Leonardo da Vinci - telematica,M,3
2018,6902,Torrevecchia Teatina Leonardo da Vinci - telematica,F,9
2018,2201,Trento,F,1899
2018,2201,Trento,M,1804
2018,3201,Trieste,M,1240
2018,3201,Trieste,F,1714
2018,5601,Tuscia,F,794
2018,5601,Tuscia,M,801
2018,3001,Udine,F,1568
2018,3001,Udine,M,1372
2018,4101,Urbino,F,1645
2018,4101,Urbino,M,958
2018,2701,Venezia Cà Foscari,F,3522
2018,2701,Venezia Cà Foscari,M,1621
2018,2702,Venezia Iuav,F,650
2018,2702,Venezia Iuav,M,602
2018,2301,Verona,F,3281
2018,2301,Verona,M,1604
